meal_description,carb,protein,fat,energy
"For my midday meal, I had a delightful 84g serving of cooked artichokes, boiled and sprinkled with salt.",9.5676,2.4276,0.2856,42.84
"For a quick snack, I had 45g of wheat crackers paired with 80g of dry mix buttermilk biscuits.",82.283,10.423,19.187,540.8499999999999
"For my snack, I indulged in 132g of delicious chocolate ice cream.",37.224000000000004,5.016,14.52,285.12
"At dinner, I served myself 46.25g of white rice, specifically long-grain, parboiled, and enriched.",37.411625,3.473375,0.47637500000000005,172.975
"I savored 15g of mustard during dinner, which added a nice kick to my plate.",0.795,0.6375,0.507,10.35
"I opted for a simple snack of 122.5g of skim milk, which is fortified with essential vitamins.",6.1495,4.37325,0.30625,45.325
"I savored 226g of raw beef during dinner, sourced from Australia and grass-fed, featuring a delicious layer of external fat.",0.8814,25.5832,116.0736,1150.34
I enjoyed a hearty 417g serving of thin crust cheese pizza for dinner this evening.,120.096,49.6647,46.1619,1096.71
"At lunch, I indulged in 52.5g of beans made from dried legumes, with no fat added.",13.356000000000002,4.683,0.32549999999999996,72.975
"At dinner, I savored 15.81g of vegetable soup, which I made using a convenient dry mix.",0.74635,0.11384999999999999,0.34471250000000003,6.325
"For lunch, I combined 73g of fried meat substitute with 96g of raw lentils, creating a nutritious and filling plate.",105.52850000000001,32.9888,6.2955000000000005,599.99
I enjoyed a small portion of 21g Edam cheese for my snack.,0.46620000000000006,5.2374,5.7624,74.76
"My snack consisted of 260g of raw light meat chicken intended for stewing, lightly dressed with 10.5g of sunflower oil.",0.0,60.06,21.445999999999998,449.02
I enjoyed a refreshing 16g piece of chewing gum for my snack today.,15.472000000000001,0.0,0.048,57.6
I treated myself to 28.35g of rice bran bread for a light snack.,12.332250000000002,2.5231500000000002,1.3041,68.8905
I enjoyed a comforting 250g serving of mashed potatoes made from fresh ingredients and milk for dinner.,44.0,5.375,10.175,285.0
"For my snack, I had 12.5g of white granulated sugar.",12.45,0.0,0.04,50.125
Tonight's dinner featured 34.5g of vibrant green kiwifruit and 28.35g of flavorful hard parmesan cheese.,5.9705699999999995,10.528425,7.266900000000001,132.17700000000002
My dinner featured a hearty serving of 100g blood sausage.,1.29,14.6,34.5,379.0
"For a light snack, I opted for 20g of savory flatbread crackers.",15.046000000000001,1.97,1.65,82.4
My breakfast included a light serving of 33g of plain melba toast crackers without any salt.,25.278,3.9930000000000003,1.056,128.7
"During my snack time, I enjoyed a small 13.75g portion of brown sugar, perfect for a quick energy boost.",13.487375,0.0165,0.0,52.25
"For a quick snack, I opted for 216g of delicious raw apples, peeled for extra sweetness.",27.5616,0.5832,0.2808,103.68
"For my snack, I had 6.5g of powdered fruit-flavored drink that wasn't reconstituted.",6.3635,0.0,0.06565,24.7
"For breakfast, I had 138.75g of uncooked white glutinous rice.",113.331,9.448875,0.763125,513.375
"During my snack time, I savored 126g of raw banana paired with a sweet 140g raw pear.",49.9366,1.4364,0.5488,202.01999999999998
I treated myself to a small snack of 34.25g of enriched wheat flour bread.,24.841525,4.10315,0.56855,123.6425
My afternoon snack included a warm 56g of cocoa mix powder.,46.8888,3.7352,2.24,222.88
"For my snack, I enjoyed 175g of raw yellow peaches.",16.694999999999997,1.5925,0.4375,68.25
I treated myself to 31.25g of unenriched white wheat flour as a light snack.,23.846875,3.228125,0.30625,113.75
My afternoon snack included a rich and smooth 130g flan that hit the spot.,36.711999999999996,6.799000000000001,6.422000000000001,231.4
"For my dinner, I savored 137g of unenriched wheat bread, complemented by 30g of table red wine, and 92.5g of frozen mixed vegetables that were cooked in oil.",111.86885000000001,18.99585,5.09545,602.395
"For a quick snack, I opted for 270g of fresh yellow plantains.",86.103,3.51,0.945,329.4
"During my snack time, I enjoyed 276 grams of refreshing caffeine-free cola along with 26 grams of crispy fried dough bread.",40.893,2.4335999999999998,4.8984,213.0
"I treated myself to a 73.5g bowl of coconut cream pudding for a sweet snack, made creamy with whole milk.",14.0385,2.1315,2.5725,85.995
"For a light snack, I savored 14.175g of oil-roasted peanuts, a great way to curb my hunger.",2.1631050000000003,3.9732525000000005,7.441875,84.90825000000001
I nibbled on 18g of unsalted corn-based chips for a quick snack.,10.332,1.188,6.012,100.26
"For a light snack, I munched on 30g of fresh raw yambean, enjoying its crunchy texture.",2.6460000000000004,0.21599999999999997,0.026999999999999996,11.4
Dinner consisted of 40g of deliciously tangy pickled vegetables.,3.94,0.396,0.09200000000000001,17.2
"For breakfast, I had 120g of boiled potatoes alongside 244g of whole milk.",35.837199999999996,10.2228,12.908000000000001,300.03999999999996
I had a tasty lunch featuring 92.5g of oil-cooked frozen mixed vegetables.,11.71975,2.56225,2.82125,82.325
"For my snack, I had 21.25g of cooked rendered fat from bacon.",0.0,0.014875000000000001,21.14375,190.825
"For my snack, I had 5.75g of fat-free dry milk.",2.98885,2.0791999999999997,0.044275,20.815
Breakfast today featured 166g of white corn grain.,123.27160000000002,15.6372,7.8684,605.9
"For breakfast, I had 83g of yellow corn grain.",61.63580000000001,7.8186,3.9342,302.95
I opted for a 52.5g cooked duck egg as a nutritious snack.,0.7140000000000001,6.279000000000001,9.73875,117.6
